sample,individual,type
Obs0_0003s,0003,1
Obs0_0008s,0008,1
Obs0_0009s,0009,1
Obs0_0014s,0014,1
Obs0_0033s,0033,1
Obs0_0037s,0037,1
Obs0_0038s,0038,1
Obs0_0041s,0041,1
Obs0_0046s,0046,1
Obs0_0053s,0053,1
Obs0_0054s,0054,1
Obs0_0063s,0063,1
Obs0_0069s,0069,1
Obs0_0079s,0079,1
Obs0_0089s,0089,1
Obs2_0003s,0003,2
Obs2_0008s,0008,2
Obs2_0009s,0009,2
Obs2_0014s,0014,2
Obs2_0033s,0033,2
Obs2_0037s,0037,2
Obs2_0038s,0038,2
Obs2_0041s,0041,2
Obs2_0046s,0046,2
Obs2_0053s,0053,2
Obs2_0054s,0054,2
Obs2_0063s,0063,2
Obs2_0069s,0069,2
Obs2_0079s,0079,2
Obs2_0089s,0089,2